"Engine","Line","Method"
"OutlineItem","public Int32 GetHashCode()","GetHashCode"
"OutlineItem","public Boolean Equals(Object obj)","Equals"
"OutlineItem","public Boolean Equals(OutlineItem other)","Equals"
"OutlineItem","public OutlineItem <Clone>$()","<Clone>$"
"OutlineItem","public Void Deconstruct(String& Kind, String& Name, String& Container, Int32& StartLine, Int32& EndLine)","Deconstruct"
"OutParamConversionResult","public String ToString()","ToString"
"OutParamConversionResult","public Int32 GetHashCode()","GetHashCode"
"OutParamConversionResult","public Boolean Equals(Object obj)","Equals"
"OutParamConversionResult","public Boolean Equals(OutParamConversionResult other)","Equals"
"OutParamConversionResult","public OutParamConversionResult <Clone>$()","<Clone>$"
"OutParamConversionResult","public Void Deconstruct(Boolean& Success, String& Message, String& OriginalSignature, String& NewSignature, Int32& CallS","Deconstruct"
"OutParamMethodFinding","public String ToString()","ToString"
"OutParamMethodFinding","public Int32 GetHashCode()","GetHashCode"
"OutParamMethodFinding","public Boolean Equals(Object obj)","Equals"
"OutParamMethodFinding","public Boolean Equals(OutParamMethodFinding other)","Equals"
"OutParamMethodFinding","public OutParamMethodFinding <Clone>$()","<Clone>$"
"OutParamMethodFinding","public Void Deconstruct(String& MethodName, String& ContainingType, String& FilePath, Int32& Line, String& CurrentReturn","Deconstruct"
"OutParamRefactoringEngine","public async Task<OutParamConversionResult> ConvertOutParamsToValueTupleAsync(String filePath, String methodName, Cancel","ConvertOutParamsToValueTupleAsync"
"ParamToPropertyRewriter","public SyntaxNode VisitIdentifierName(IdentifierNameSyntax node)","VisitIdentifierName"
"PathCoverageReport","public String ToString()","ToString"
"PathCoverageReport","public Int32 GetHashCode()","GetHashCode"
"PathCoverageReport","public Boolean Equals(Object obj)","Equals"
"PathCoverageReport","public Boolean Equals(PathCoverageReport other)","Equals"
"PathCoverageReport","public PathCoverageReport <Clone>$()","<Clone>$"
"PathCoverageReport","public Void Deconstruct(String& MethodName, List`1& BranchesToTest)","Deconstruct"
"PathDrivenTestCase","public String ToString()","ToString"
"PathDrivenTestCase","public Int32 GetHashCode()","GetHashCode"
"PathDrivenTestCase","public Boolean Equals(Object obj)","Equals"
"PathDrivenTestCase","public Boolean Equals(PathDrivenTestCase other)","Equals"
"PathDrivenTestCase","public PathDrivenTestCase <Clone>$()","<Clone>$"
"PathDrivenTestCase","public Void Deconstruct(String& TestMethodName, String& ScenarioDescription, List`1& InputConstraints, String& ExpectedO","Deconstruct"
"PathDrivenTestEngine","public async Task<PathDrivenTestReport> GeneratePathDrivenTestsAsync(String filePath, String methodName, String framewor","GeneratePathDrivenTestsAsync"
"PathDrivenTestReport","public String ToString()","ToString"
"PathDrivenTestReport","public Int32 GetHashCode()","GetHashCode"
"PathDrivenTestReport","public Boolean Equals(Object obj)","Equals"
"PathDrivenTestReport","public Boolean Equals(PathDrivenTestReport other)","Equals"
"PathDrivenTestReport","public PathDrivenTestReport <Clone>$()","<Clone>$"
"PathDrivenTestReport","public Void Deconstruct(String& MethodName, String& FilePath, String& ClassName, Int32& PathCount, List`1& TestCases, St","Deconstruct"
"PathInputConstraint","public String ToString()","ToString"
"PathInputConstraint","public Int32 GetHashCode()","GetHashCode"
"PathInputConstraint","public Boolean Equals(Object obj)","Equals"
"PathInputConstraint","public Boolean Equals(PathInputConstraint other)","Equals"
"PathInputConstraint","public PathInputConstraint <Clone>$()","<Clone>$"
"PathInputConstraint","public Void Deconstruct(String& ParameterName, String& ConstraintDescription, String& SuggestedValue)","Deconstruct"
"PatternMatchingRewriter","public SyntaxNode VisitIfStatement(IfStatementSyntax node)","VisitIfStatement"
"PatternMatchingRewriter","public SyntaxNode VisitIfStatement(IfStatementSyntax node)","VisitIfStatement"
"PatternModernizationRewriter","public SyntaxNode VisitIfStatement(IfStatementSyntax node)","VisitIfStatement"
"PatternModernizationRewriter","public SyntaxNode VisitBinaryExpression(BinaryExpressionSyntax node)","VisitBinaryExpression"
"PerformanceEngine","public async Task<List<PerformanceIssueReport>> AnalyzePerformanceAsync(String filePath, CancellationToken cancellationT","AnalyzePerformanceAsync"
"PerformanceEngine","public async Task<List<PerformanceIssueReport>> OptimizeResourceDisposalAsync(String filePath, CancellationToken cancell","OptimizeResourceDisposalAsync"
"PerformanceEngine","public async Task<List<PerformanceIssueReport>> DetectInefficientStringComparisonsAsync(String filePath, CancellationTok","DetectInefficientStringComparisonsAsync"
"PerformanceEngine","public async Task<List<PerformanceIssueReport>> FindBoxingAllocationsAsync(String filePath, CancellationToken cancellati","FindBoxingAllocationsAsync"
"PerformanceEngine","public async Task<List<PerformanceIssueReport>> FindLinqN1PatternsAsync(String filePath = null, String projectName = nul","FindLinqN1PatternsAsync"
"PerformanceEngine","public async Task<List<PerformanceIssueReport>> FindStringFormatInLoopsAsync(String filePath = null, CancellationToken c","FindStringFormatInLoopsAsync"
"PerformanceEngine","public async Task<List<PerformanceIssueReport>> FindMultipleEnumerationAsync(String filePath = null, CancellationToken c","FindMultipleEnumerationAsync"
"PerformanceEngine","public async Task<List<PerformanceIssueReport>> FindLinqRedundantWhereAsync(String filePath = null, CancellationToken ct","FindLinqRedundantWhereAsync"
"PerformanceEngine","public async Task<List<PerformanceIssueReport>> FindImplicitNullableBoxingAsync(String filePath = null, CancellationToke","FindImplicitNullableBoxingAsync"
"PerformanceIssueReport","public String ToString()","ToString"
"PerformanceIssueReport","public Int32 GetHashCode()","GetHashCode"
"PerformanceIssueReport","public Boolean Equals(Object obj)","Equals"
"PerformanceIssueReport","public Boolean Equals(PerformanceIssueReport other)","Equals"
"PerformanceIssueReport","public PerformanceIssueReport <Clone>$()","<Clone>$"
"PerformanceIssueReport","public Void Deconstruct(String& FilePath, Int32& Line, Int32& Column, String& IssueType, String& Description)","Deconstruct"
"PersistentWorkspaceManager","public List<String> GetExternalDrift()","GetExternalDrift"
"PersistentWorkspaceManager","public Void ClearDrift()","ClearDrift"
"PersistentWorkspaceManager","public async Task LoadSolutionAsync(String solutionPath, CancellationToken cancellationToken = null)","LoadSolutionAsync"
"PersistentWorkspaceManager","public String GetSolutionRoot()","GetSolutionRoot"
"PersistentWorkspaceManager","public String CheckRateLimit(String toolName, Int32 defaultLimit)","CheckRateLimit"
"PersistentWorkspaceManager","public IEnumerable<String> GetDiagnostics()","GetDiagnostics"
"PersistentWorkspaceManager","public List<String> GetWorkspaceLoadErrors()","GetWorkspaceLoadErrors"
"PersistentWorkspaceManager","public async Task<Solution> GetBranchedSolutionAsync()","GetBranchedSolutionAsync"
"PersistentWorkspaceManager","public Void SetTestSolution(Solution solution)","SetTestSolution"
"PersistentWorkspaceManager","public String StageChanges(Dictionary<String, String> changes, String description)","StageChanges"
"PersistentWorkspaceManager","public Dictionary<String, String> GetStagedChanges(String changeId)","GetStagedChanges"
"PersistentWorkspaceManager","public async Task<ApplyChangesResult> ApplyStagedChangesAsync(String changeId, Int32 retryCount = 3)","ApplyStagedChangesAsync"
"PersistentWorkspaceManager","public Boolean DiscardStagedChanges(String changeId)","DiscardStagedChanges"
"PersistentWorkspaceManager","public HealthComponents GetHealthComponents()","GetHealthComponents"
"PersistentWorkspaceManager","public WorkspaceStatus GetWorkspaceStatus()","GetWorkspaceStatus"
"PersistentWorkspaceManager","public async Task<ApplyChangesResult> ApplyProposedChangesAsync(Dictionary<String, String> changes, Int32 retryCount = 3","ApplyProposedChangesAsync"
"PersistentWorkspaceManager","public async Task<ApplyChangesResult> RetryFailedChangesAsync(List<String> specificFiles = null, Int32 retryCount = 3)","RetryFailedChangesAsync"
"PersistentWorkspaceManager","public Void Dispose()","Dispose"
"PersistentWorkspaceManager","public Void RecordBatchOutcome(Int32 succeeded, Int32 failed, Int32 rolledBack, Int32 skipped)","RecordBatchOutcome"
"PersistentWorkspaceManager","public BatchResultSummary CheckBreaker()","CheckBreaker"
"PersistentWorkspaceManager","public Void ResetBreaker()","ResetBreaker"
"PersistentWorkspaceManager","public String GetBreakerSeverity()","GetBreakerSeverity"
"PersistentWorkspaceManager","public String GetBreakerDirective()","GetBreakerDirective"
"PersistentWorkspaceManager","public BreakerStatusReport GetBreakerStatus()","GetBreakerStatus"
"ProjectConsistencyEngine","public async Task<List<ProjectConsistencyIssue>> CheckConsistencyAsync(CancellationToken ct = null)","CheckConsistencyAsync"
"ProjectConsistencyEngine","public async Task<List<ProjectFrameworkSummary>> GetProjectFrameworkSummaryAsync(CancellationToken ct = null)","GetProjectFrameworkSummaryAsync"
"ProjectConsistencyIssue","public String ToString()","ToString"
"ProjectConsistencyIssue","public Int32 GetHashCode()","GetHashCode"
"ProjectConsistencyIssue","public Boolean Equals(Object obj)","Equals"
"ProjectConsistencyIssue","public Boolean Equals(ProjectConsistencyIssue other)","Equals"
"ProjectConsistencyIssue","public ProjectConsistencyIssue <Clone>$()","<Clone>$"
"ProjectConsistencyIssue","public Void Deconstruct(String& IssueType, String& Description, String& ProjectName, String& FilePath)","Deconstruct"
"ProjectDependencyReport","public String ToString()","ToString"
"ProjectDependencyReport","public Int32 GetHashCode()","GetHashCode"
"ProjectDependencyReport","public Boolean Equals(Object obj)","Equals"
"ProjectDependencyReport","public Boolean Equals(ProjectDependencyReport other)","Equals"
"ProjectDependencyReport","public ProjectDependencyReport <Clone>$()","<Clone>$"
"ProjectDependencyReport","public Void Deconstruct(List`1& ProjectReferences, List`1& PackageReferences)","Deconstruct"
"ProjectFrameworkSummary","public String ToString()","ToString"
"ProjectFrameworkSummary","public Int32 GetHashCode()","GetHashCode"
"ProjectFrameworkSummary","public Boolean Equals(Object obj)","Equals"
"ProjectFrameworkSummary","public Boolean Equals(ProjectFrameworkSummary other)","Equals"
"ProjectFrameworkSummary","public ProjectFrameworkSummary <Clone>$()","<Clone>$"
"ProjectFrameworkSummary","public Void Deconstruct(String& ProjectName, String& TargetFramework, String& FilePath)","Deconstruct"
"ProjectHealthSummary","public String ToString()","ToString"
"ProjectHealthSummary","public Int32 GetHashCode()","GetHashCode"
"ProjectHealthSummary","public Boolean Equals(Object obj)","Equals"
"ProjectHealthSummary","public Boolean Equals(ProjectHealthSummary other)","Equals"
"ProjectHealthSummary","public ProjectHealthSummary <Clone>$()","<Clone>$"
"ProjectHealthSummary","public Void Deconstruct(String& ProjectName, Int32& TotalIssues, List`1& IssuesByCategory)","Deconstruct"
"ProjectMetric","public String ToString()","ToString"
"ProjectMetric","public Int32 GetHashCode()","GetHashCode"
"ProjectMetric","public Boolean Equals(Object obj)","Equals"
"ProjectMetric","public Boolean Equals(ProjectMetric other)","Equals"
"ProjectMetric","public ProjectMetric <Clone>$()","<Clone>$"
"ProjectMetric","public Void Deconstruct(String& Name, Int32& FileCount, Int64& LineCount, Int32& TypeCount, Int32& MethodCount)","Deconstruct"
"ProjectStructureEngine","public async Task<String> FixMismatchedNamespacesAsync(String filePath, CancellationToken cancellationToken = null)","FixMismatchedNamespacesAsync"
"ProjectStructureEngine","public async Task<String> MoveFileToNamespaceFolderAsync(String filePath, CancellationToken cancellationToken = null)","MoveFileToNamespaceFolderAsync"
"ProjectStructureEngine","public async Task<List<String>> FindStructuralSmellsAsync(StructuralSmellType typeFilter = All, String projectName = nul","FindStructuralSmellsAsync"
"PublicApiMember","public String ToString()","ToString"
"PublicApiMember","public Int32 GetHashCode()","GetHashCode"
"PublicApiMember","public Boolean Equals(Object obj)","Equals"
"PublicApiMember","public Boolean Equals(PublicApiMember other)","Equals"
"PublicApiMember","public PublicApiMember <Clone>$()","<Clone>$"
"PublicApiMember","public Void Deconstruct(String& Kind, String& ContainingType, String& Signature, String& FilePath, Int32& Line)","Deconstruct"
"ReadonlyFieldCandidate","public String ToString()","ToString"
"ReadonlyFieldCandidate","public Int32 GetHashCode()","GetHashCode"
"ReadonlyFieldCandidate","public Boolean Equals(Object obj)","Equals"
"ReadonlyFieldCandidate","public Boolean Equals(ReadonlyFieldCandidate other)","Equals"
"ReadonlyFieldCandidate","public ReadonlyFieldCandidate <Clone>$()","<Clone>$"
"ReadonlyFieldCandidate","public Void Deconstruct(String& ClassName, String& FieldName, String& FieldType, Int32& Line)","Deconstruct"
"RefactoringEngine","public async Task<String> FormatDocumentAsync(String filePath, CancellationToken ct = null)","FormatDocumentAsync"
"RefactoringEngine","public async Task<Dictionary<String, String>> ChangeSignatureAsync(String filePath, String methodName, Int32[] newParame","ChangeSignatureAsync"
"RefactoringEngine","public async Task<ExtractMethodResult> ExtractMethodAsync(String filePath, Int32 startLine, String startLineText, Int32 ","ExtractMethodAsync"
"RefactoringEngine","public async Task<Dictionary<String, String>> MoveTypeToFileAsync(String filePath, String typeName, CancellationToken ct","MoveTypeToFileAsync"
"RefactoringEngine","public async Task<Dictionary<String, String>> MoveAllTypesToFilesAsync(String filePath, CancellationToken ct = null)","MoveAllTypesToFilesAsync"
"RefactoringEngine","public async Task<Dictionary<String, String>> MoveAllTypesToFilesInProjectAsync(String projectName, CancellationToken ct","MoveAllTypesToFilesInProjectAsync"
"RefactoringEngine","public async Task<Dictionary<String, String>> MoveAllTypesToFilesInSolutionAsync(CancellationToken ct = null)","MoveAllTypesToFilesInSolutionAsync"
"RefactoringEngine","public async Task<Dictionary<String, String>> ExtractInterfaceAsync(String filePath, String className, String interfaceN","ExtractInterfaceAsync"
"RefactoringEngine","public async Task<RenameSymbolResult> RenameSymbolAsync(String filePath, String symbolName, String contextSnippet, Strin","RenameSymbolAsync"
"RefactoringEngine","public async Task<String> ConvertIndexerToMethodAsync(String filePath, CancellationToken ct = null)","ConvertIndexerToMethodAsync"
"RefactoringEngine","public async Task<String> AddRemoveParamsAsync(String filePath, String methodName, CancellationToken ct = null)","AddRemoveParamsAsync"
"RefactoringEngine","public async Task<String> ReplaceMemberAsync(String filePath, String memberName, String newSource, CancellationToken ct ","ReplaceMemberAsync"
"RefactoringEngine","public async Task<String> AddMemberAsync(String filePath, String containerName, String newMemberSource, CancellationToke","AddMemberAsync"
"RefactoringEngine","public async Task<String> RemoveMemberAsync(String filePath, String memberName, CancellationToken ct = null)","RemoveMemberAsync"
"RefactoringEngine","public async Task<String> ConvertToPrimaryConstructorAsync(String filePath, String className, CancellationToken ct = nul","ConvertToPrimaryConstructorAsync"
"RefactoringEngine","public async Task<Dictionary<String, String>> SafeDeleteSymbolAsync(String filePath, String contextSnippet, String lineB","SafeDeleteSymbolAsync"
"RefactoringEngine","public async Task<String> ConvertExpressionBodyAsync(String filePath, String memberName, String direction, String contex","ConvertExpressionBodyAsync"
"RefactoringEngine","public async Task<String> ExtractConstantAsync(String filePath, String contextSnippet, String constantName, String visib","ExtractConstantAsync"
"RefactoringEngine","public async Task<String> ExtractLocalVariableAsync(String filePath, String contextSnippet, String newVariableName = nul","ExtractLocalVariableAsync"
"RefactoringEngine","public async Task<ControlFlowSummary> AnalyzeControlFlowAsync(String filePath, String methodName, String contextSnippet ","AnalyzeControlFlowAsync"
"RefactoringEngine","public async Task<DataFlowSummary> AnalyzeDataFlowAsync(String filePath, String methodName, String contextSnippet = null","AnalyzeDataFlowAsync"
"RefactoringEngine","public async Task<String> AddUsingDirectiveAsync(String filePath, String namespaceName, CancellationToken ct = null)","AddUsingDirectiveAsync"
"RefactoringEngine","public async Task<String> AddEnumValueAsync(String filePath, String enumName, String valueName, Nullable<Int32> explicit","AddEnumValueAsync"
"RefactoringEngine","public async Task<String> InsertMemberAfterAsync(String filePath, String containerName, String afterMemberName, String n","InsertMemberAfterAsync"
"RefactoringEngine","public async Task<String> InsertMemberBeforeAsync(String filePath, String containerName, String beforeMemberName, String","InsertMemberBeforeAsync"
"RefactoringEngine","public async Task<String> AddAttributeAsync(String filePath, String targetName, String attributeSource, CancellationToke","AddAttributeAsync"
"RefactoringEngine","public async Task<String> AddBaseTypeAsync(String filePath, String typeName, String baseTypeName, CancellationToken ct =","AddBaseTypeAsync"
"RefactoringEngine","public async Task<String> RemoveAttributeAsync(String filePath, String targetName, String attributeName, CancellationTok","RemoveAttributeAsync"
"RefactoringEngine","public async Task<String> RemoveBaseTypeAsync(String filePath, String typeName, String baseTypeName, CancellationToken c","RemoveBaseTypeAsync"
"RefactoringEngine","public async Task<String> ChangeAccessibilityAsync(String filePath, String targetName, String accessibility, Cancellatio","ChangeAccessibilityAsync"
"RefactoringEngine","public async Task<String> AddModifierAsync(String filePath, String targetName, String modifier, CancellationToken ct = n","AddModifierAsync"
"RefactoringEngine","public async Task<String> RemoveModifierAsync(String filePath, String targetName, String modifier, CancellationToken ct ","RemoveModifierAsync"
"RefactoringEngine","public async Task<String> AddSummaryCommentAsync(String filePath, String targetName, String summaryText, CancellationTok","AddSummaryCommentAsync"
"RefactoringEngine","public async Task<String> AddPropertyAsync(String filePath, String containerName, String propertyName, String propertyTy","AddPropertyAsync"
"RefactoringEngine","public async Task<String> AddFieldAsync(String filePath, String containerName, String fieldName, String fieldType, Strin","AddFieldAsync"
"RefactoringEngine","public async Task<String> SortMembersAsync(String filePath, String containerName, CancellationToken ct = null)","SortMembersAsync"
"RefactoringEngine","public async Task<String> WrapInTryCatchAsync(String filePath, Int32 startLine, Int32 endLine, String exceptionType = \E","WrapInTryCatchAsync"
"RefactoringEngine","public async Task<String> AddConstructorParameterAsync(String filePath, String className, String paramName, String param","AddConstructorParameterAsync"
"RefactoringEngine","public async Task<String> WrapInRegionAsync(String filePath, Int32 startLine, Int32 endLine, String regionName, Cancella","WrapInRegionAsync"
"RefactoringEngine","public async Task<String> SyncInterfaceToImplementationAsync(String filePath, String className, String interfaceName, Ca","SyncInterfaceToImplementationAsync"
"RefactoringEngine","public async Task<String> UpdateXmlDocsFromSignatureAsync(String filePath, String methodName, CancellationToken ct = nul","UpdateXmlDocsFromSignatureAsync"
"RefactoringEngine","public async Task<FormatPreviewResult> FormatDocumentPreviewAsync(String filePath, CancellationToken ct = null)","FormatDocumentPreviewAsync"
"ReferenceInfo","public String ToString()","ToString"
"ReferenceInfo","public Int32 GetHashCode()","GetHashCode"
"ReferenceInfo","public Boolean Equals(Object obj)","Equals"
"ReferenceInfo","public Boolean Equals(ReferenceInfo other)","Equals"
"ReferenceInfo","public ReferenceInfo <Clone>$()","<Clone>$"
"ReferenceInfo","public Void Deconstruct(String& FilePath, Int32& Line, Int32& Column, String& Preview)","Deconstruct"
"RefinementEngine","public async Task<Dictionary<String, String>> PullUpMemberAsync(String filePath, String className, String memberName, Ca","PullUpMemberAsync"
"RefinementEngine","public async Task<Dictionary<String, String>> InlineMethodAsync(String filePath, String methodName, CancellationToken ca","InlineMethodAsync"
"RenameFileChange","public String ToString()","ToString"
"RenameFileChange","public Int32 GetHashCode()","GetHashCode"
"RenameFileChange","public Boolean Equals(Object obj)","Equals"
"RenameFileChange","public Boolean Equals(RenameFileChange other)","Equals"
"RenameFileChange","public RenameFileChange <Clone>$()","<Clone>$"
"RenameFileChange","public Void Deconstruct(String& FilePath, List`1& Hunks)","Deconstruct"
"RenameHunk","public String ToString()","ToString"
"RenameHunk","public Int32 GetHashCode()","GetHashCode"
"RenameHunk","public Boolean Equals(Object obj)","Equals"
"RenameHunk","public Boolean Equals(RenameHunk other)","Equals"
"RenameHunk","public RenameHunk <Clone>$()","<Clone>$"
"RenameHunk","public Void Deconstruct(Int32& LineNumber, String& Before, String& After, String& ContextBefore, String& ContextAfter)","Deconstruct"
"RenameImpactPreview","public String ToString()","ToString"
"RenameImpactPreview","public Int32 GetHashCode()","GetHashCode"
"RenameImpactPreview","public Boolean Equals(Object obj)","Equals"
"RenameImpactPreview","public Boolean Equals(RenameImpactPreview other)","Equals"
"RenameImpactPreview","public RenameImpactPreview <Clone>$()","<Clone>$"
"RenameImpactPreview","public Void Deconstruct(String& SymbolName, Int32& TotalReferences, Int32& FilesAffected, Boolean& HasTestReferences, Li","Deconstruct"
"RenameSymbolResult","public String ToString()","ToString"
"RenameSymbolResult","public Int32 GetHashCode()","GetHashCode"
"RenameSymbolResult","public Boolean Equals(Object obj)","Equals"
"RenameSymbolResult","public Boolean Equals(RenameSymbolResult other)","Equals"
"RenameSymbolResult","public RenameSymbolResult <Clone>$()","<Clone>$"
"RenameSymbolResult","public Void Deconstruct(String& OldName, String& NewName, Dictionary`2& PendingChanges, List`1& FileChanges, String& Err","Deconstruct"
"RepositoryInterfaceResult","public String ToString()","ToString"
"RepositoryInterfaceResult","public Int32 GetHashCode()","GetHashCode"
"RepositoryInterfaceResult","public Boolean Equals(Object obj)","Equals"
"RepositoryInterfaceResult","public Boolean Equals(RepositoryInterfaceResult other)","Equals"
"RepositoryInterfaceResult","public RepositoryInterfaceResult <Clone>$()","<Clone>$"
"RepositoryInterfaceResult","public Void Deconstruct(String& InterfaceName, String& InterfaceCode, String& DiRegistrationSnippet, String& MockSetupSn","Deconstruct"
"ReturnRewriter","public SyntaxNode VisitReturnStatement(ReturnStatementSyntax node)","VisitReturnStatement"
"ReverseCallGraphNode","public String ToString()","ToString"
"ReverseCallGraphNode","public Int32 GetHashCode()","GetHashCode"
"ReverseCallGraphNode","public Boolean Equals(Object obj)","Equals"
"ReverseCallGraphNode","public Boolean Equals(ReverseCallGraphNode other)","Equals"
"ReverseCallGraphNode","public ReverseCallGraphNode <Clone>$()","<Clone>$"
"ReverseCallGraphNode","public Void Deconstruct(String& MethodName, String& ContainingType, String& FilePath, Nullable`1& Line, List`1& Callers)","Deconstruct"
"SafetyIssue","public String ToString()","ToString"
"SafetyIssue","public Int32 GetHashCode()","GetHashCode"
"SafetyIssue","public Boolean Equals(Object obj)","Equals"
"SafetyIssue","public Boolean Equals(SafetyIssue other)","Equals"
"SafetyIssue","public SafetyIssue <Clone>$()","<Clone>$"
"SafetyIssue","public Void Deconstruct(String& FilePath, Int32& Line, Int32& Column, String& Type, String& Description)","Deconstruct"
"ScanDescriptor","public String ToString()","ToString"
"ScanDescriptor","public Int32 GetHashCode()","GetHashCode"
"ScanDescriptor","public Boolean Equals(Object obj)","Equals"
"ScanDescriptor","public Boolean Equals(ScanDescriptor other)","Equals"
"ScanDescriptor","public ScanDescriptor <Clone>$()","<Clone>$"
"ScanDescriptor","public Void Deconstruct(String& Id, String& Domain, String& ScopeHint, String& Description)","Deconstruct"
"SearchResult","public String ToString()","ToString"
"SearchResult","public Int32 GetHashCode()","GetHashCode"
"SearchResult","public Boolean Equals(Object obj)","Equals"
"SearchResult","public Boolean Equals(SearchResult other)","Equals"
"SearchResult","public SearchResult <Clone>$()","<Clone>$"
"SearchResult","public Void Deconstruct(String& FilePath, String& MemberName, String& Detail)","Deconstruct"
"SecurityAndSafetyEngine","public async Task<List<SafetyIssue>> FindUnsafeTypeCastsAsync(String filePath, CancellationToken cancellationToken = nul","FindUnsafeTypeCastsAsync"
"SecurityAndSafetyEngine","public async Task<List<SafetyIssue>> DetectMissingNullChecksAsync(String filePath, CancellationToken cancellationToken =","DetectMissingNullChecksAsync"
"SecurityAndSafetyEngine","public async Task<List<SafetyIssue>> FindNullDereferenceChainAsync(String filePath, CancellationToken ct = null)","FindNullDereferenceChainAsync"
"SecurityAndSafetyEngine","public async Task<List<SafetyIssue>> FindArithmeticOverflowRisksAsync(String filePath, CancellationToken ct = null)","FindArithmeticOverflowRisksAsync"
"SecurityEngine","public async Task<List<SecurityIssueReport>> AnalyzeSecurityAsync(String filePath, CancellationToken cancellationToken =","AnalyzeSecurityAsync"
"SecurityEngine","public async Task<List<SecurityIssueReport>> FindHardcodedPathsAsync(String filePath = null, String projectName = null, ","FindHardcodedPathsAsync"
"SecurityEngine","public async Task<List<SecurityIssueReport>> CheckForSqlInjectionAsync(String filePath = null, String projectName = null","CheckForSqlInjectionAsync"
"SecurityEngine","public async Task<List<SecurityIssueReport>> FindReDoSPatternsAsync(String filePath, CancellationToken ct = null)","FindReDoSPatternsAsync"
"SecurityEngine","public async Task<List<SecurityIssueReport>> FindUnvalidatedRegexSourceAsync(String filePath, CancellationToken ct = nul","FindUnvalidatedRegexSourceAsync"
"SecurityEngine","public async Task<List<SecurityIssueReport>> FindRegexNewInLoopAsync(String filePath, CancellationToken ct = null)","FindRegexNewInLoopAsync"
"SecurityEngine","public async Task<List<SecurityIssueReport>> DetectJsonAntiPatternsAsync(String filePath, CancellationToken cancellation","DetectJsonAntiPatternsAsync"
"SecurityIssueReport","public String ToString()","ToString"
"SecurityIssueReport","public Int32 GetHashCode()","GetHashCode"
"SecurityIssueReport","public Boolean Equals(Object obj)","Equals"
"SecurityIssueReport","public Boolean Equals(SecurityIssueReport other)","Equals"
"SecurityIssueReport","public SecurityIssueReport <Clone>$()","<Clone>$"
"SecurityIssueReport","public Void Deconstruct(String& FilePath, Int32& Line, Int32& Column, String& IssueType, String& Description)","Deconstruct"
"SemanticRefactoringLibrary","public async Task<String> InlineVariableAsync(String filePath, String variableName, CancellationToken cancellationToken ","InlineVariableAsync"
"SemanticRefactoringLibrary","public async Task<String> ConvertPropertyToMethodsAsync(String filePath, String className, String propertyName, Cancella","ConvertPropertyToMethodsAsync"
"SemanticRefactoringLibrary","public async Task<String> WrapInUsingAsync(String filePath, Int32 startLine, Int32 endLine, String disposalName, Cancell","WrapInUsingAsync"
"SemanticSearchEngine","public async Task<List<SearchResult>> FindMethodsByReturnTypeAsync(String returnType, CancellationToken cancellationToke","FindMethodsByReturnTypeAsync"
"SemanticSearchEngine","public async Task<List<SearchResult>> FindTypesByAttributeAsync(String attributeName, CancellationToken cancellationToke","FindTypesByAttributeAsync"
"SentinelAugmentTools","public async Task<MsAugmentResult> EncapsulateFieldSafe(String filePath, String fieldName, String overridePropertyName =","EncapsulateFieldSafe"
"SentinelAugmentTools","public async Task<SwitchConversionAnalysis> AnalyzeSwitchForPatternConversion(String filePath, String contextSnippet, St","AnalyzeSwitchForPatternConversion"
"SentinelAugmentTools","public async Task<MsAugmentResult> ConvertSwitchToPatternSafe(String filePath, String contextSnippet, String lineBefore ","ConvertSwitchToPatternSafe"
"SentinelAugmentTools","public async Task<ForeachLinqAnalysis> AnalyzeForeachForLinqConversion(String filePath, String contextSnippet, String li","AnalyzeForeachForLinqConversion"
"SentinelAugmentTools","public async Task<WorkspaceHealthReport> GetWorkspaceHealth()","GetWorkspaceHealth"
"SentinelAugmentTools","public async Task<MsAugmentResult> ExtractMethodSafe(String filePath, String newMethodName, String contextSnippet, Strin","ExtractMethodSafe"
"SentinelCodemodTools","public async Task<Object> ApplyFileCodemod(String filePath, String transform, Boolean libraryMode = true, Boolean previe","ApplyFileCodemod"
"SentinelCodemodTools","public async Task<Object> ApplyMethodCodemod(String filePath, String methodName, String transform, String direction = nu","ApplyMethodCodemod"
"SentinelCodemodTools","public async Task<Object> ApplyClassCodemod(String filePath, String className, String transform, String propertyName = n","ApplyClassCodemod"
"SentinelCodemodTools","public async Task<Object> Generate(String kind, String filePath = null, String className = null, String methodName = nul","Generate"
"SentinelConfiguration","public Boolean IsFeatureEnabled(String featureName)","IsFeatureEnabled"
"SentinelConfiguration","public Void SetFeatureStatus(String featureName, Boolean enabled)","SetFeatureStatus"
"SentinelConfiguration","public Void BatchUpdateFeatureStatus(List<KeyValuePair<String, Boolean>> updates)","BatchUpdateFeatureStatus"
"SentinelConfiguration","public List<KeyValuePair<String, Boolean>> GetFeatureStatuses(List<String> filter = null)","GetFeatureStatuses"
"SentinelGenerationTools","public GenerationResult GenerateClassesFromJson(String json, String rootClassName, String namespace)","GenerateClassesFromJson"
"SentinelGenerationTools","public async Task<String> GenerateHttpClient(String filePath, String controllerName)","GenerateHttpClient"
"SentinelGenerationTools","public async Task<String> GenerateDefaultConfigJson(String projectName)","GenerateDefaultConfigJson"
"SentinelGenerationTools","public async Task<String> InterpolateStringSafe(String filePath, String contextSnippet, String lineBefore = null, String","InterpolateStringSafe"
"SentinelIntelligenceTools","public async Task<ComprehensiveHealthReport> GetComprehensiveHealthReport(List<HealthEngineType> engines = null, String ","GetComprehensiveHealthReport"
